follow_id,follow_app,follow_area,follow_rel_id,follow_member_id,follow_is_anon,follow_added,follow_notify_do,follow_notify_meta,follow_notify_freq,follow_notify_sent,follow_visible,follow_index_id
fd493920fd57664677f50e16bf36b39f,forums,topic,36,12,0,1316119424,1,36,daily,1511158696,1,189544
1b179c39dd16a7955e2a258b6a2e51bc,forums,topic,62,12,0,1316153077,1,62,daily,1511158696,1,189525
af062e78edc9ce0a5ae29a453c626b3b,forums,topic,47,12,0,1316153350,1,47,daily,1511158696,1,189534
bbf8f01fcd2b2807471bd4b6152548b6,forums,topic,44,12,0,1316195666,1,44,daily,1511158696,1,189537
b85184cada616928c2b7c1669735e37a,forums,topic,65,12,0,1316196662,1,65,daily,1511158696,1,189522
e7328cad2ce0896c7266ea0457c3aba1,forums,topic,74,12,0,1316196996,1,74,daily,1511158696,1,189513
625eb2d42031123eed20a47f07150f49,forums,topic,75,12,0,1316198333,1,75,daily,1511158696,1,189512
a87febdf198c768917d4d97f94366a51,forums,topic,73,12,0,1316205645,1,73,daily,1511158696,1,189514
e5f6841c1a65cc74ae397d20a73d64bc,forums,topic,45,12,0,1316251159,1,45,daily,1511158696,1,189536
6f7a34133d356a70674756f1d331f5fc,forums,topic,78,12,0,1316252263,1,78,daily,1511158696,1,189509
4358cb44794daf692302ade6bddb753a,forums,topic,79,12,0,1316252565,1,79,daily,1511158696,1,189508
e614314aece990132307f7fc94b79d63,forums,topic,88,12,0,1316287456,1,88,daily,1511158696,1,189499
9e93a9774276e26369fc4c1f171597cf,forums,topic,7236,9353,0,1484162546,1,"",immediate,1484569277,1,183379
d77a633883650e2cd3ea1597e6b2eea3,forums,topic,95,12,0,1316347770,1,95,daily,1511158696,1,189492
c46a3b49559ff844114d8758b762a7bb,forums,topic,96,12,0,1316348305,1,96,daily,1511158696,1,189491
eec2460cec59551e6405e50e0de0a650,forums,topic,34,12,0,1316357367,1,34,daily,1511158696,1,189546
d656885a57bf129bbddb18cd34ef6334,forums,topic,92,7,0,1316369076,1,"",immediate,1468163754,1,189495
827424b6bff9fe2ac828841fca95f039,forums,topic,111,2,0,1316555147,1,111,immediate,1475925576,1,189482
fa518abfdd44cfb999d67ed1477bdc9e,forums,topic,134,12,0,1316887291,1,134,daily,1511158696,1,189463
4aca7b9680434ee0e75c5952800fab72,forums,topic,135,12,0,1316946406,1,135,daily,1511158696,1,189462
34ee4f477ffa1d2e82fb32824fdf4ecd,forums,topic,22,12,0,1316974728,1,22,daily,1511158696,1,
4a954cf13f53d705500ccc6345e2f316,forums,topic,138,12,0,1316982193,1,138,daily,1511158696,1,189459
8f5132b9c7f9c2e5961d75c64f2bb00a,forums,topic,144,12,0,1317061494,1,144,daily,1511158696,1,189454
b87d6f4c2361791612f2006438ad41c8,forums,topic,145,12,0,1317103583,1,145,daily,1511158696,1,189453
0656067344311d4ecdf0cabf0c95314e,forums,topic,151,12,0,1317146647,1,151,daily,1511158696,1,189447
